"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,"Profile visits",Replies,Navigation,"Link clicks","Sticker taps",Follows
18089927375475033,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"みなさま
おはようございます🌞
体調はなんとか
大丈夫です🙇‍♀️

たくさんのメッセージ
ありがとうございます🙇‍♀️🙇‍♀️🙏",0,"01/13/2026 13:16",https://www.instagram.com/stories/ino_moneycoach/3809426041715547853,"IG story",,Lifetime,3745,3131,7,0,19,0,3310,,,1
18106560094737544,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"SFC修行のやりすぎで
いの、体調怪しい😂😂

本日、もんのすごい飛行機遅れてしまったから帰ったらすぐ寝ます😂 沖縄の海に青い
熱帯魚を発見🐠💡
沖縄は1ヶ月くらい滞在してみたい🤩🤩 👆青い珊瑚も🪸",5,"01/13/2026 02:39",https://www.instagram.com/stories/ino_moneycoach/3809105263753074278,"IG story",,Lifetime,3213,2418,5,0,24,0,2488,,,
18072742769579602,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"最近のクレカの入会
キャンペーンをまとめたよ🫡 よく、今どんなキャンペーンがありますかと聞かれるので、
気になっている人はぜひチェックしてね😊",15,"01/13/2026 01:56",https://www.instagram.com/stories/ino_moneycoach/3809083736043198325,"IG story",,Lifetime,3277,2405,10,0,34,0,2753,,,
17903904351343027,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"ヒルトンの会員制度に
新しいランクが誕生✨他のランクに何か影響ある？ カードをキャンペーンで発行予定の人はぜひチェックしてね😊",15,"01/12/2026 16:16",https://www.instagram.com/stories/ino_moneycoach/3808791778913553669,"IG story",,Lifetime,3961,2851,9,0,24,0,3485,,,
17921794194218733,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/12/2026 16:14",https://www.instagram.com/stories/ino_moneycoach/3808790715170980045,"IG story",,Lifetime,4265,3324,7,0,37,6,3502,,,1
17872869855482512,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/11/2026 17:15",https://www.instagram.com/stories/ino_moneycoach/3808096943969817465,"IG story",,Lifetime,6315,4332,12,0,24,5,5137,,,
17925790296054603,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"5回ポイントカード提示して1%
還元狙うか問題🥹🥹",0,"01/11/2026 15:45",https://www.instagram.com/stories/ino_moneycoach/3808051531032432994,"IG story",,Lifetime,5781,4505,4,1,12,0,4834,,,
18076271237598330,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"本日も
帰ってきました🫡
ピカチュウジェット
みました🥰 流石に疲れました",17,"01/11/2026 07:22",https://www.instagram.com/stories/ino_moneycoach/3807798157179501885,"IG story",,Lifetime,5019,4188,15,0,17,0,4644,,,
18088434653287106,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"お天気悪くなってますね😭 さて無事修行終わるか💦 天候不良で

元の空港へ引き返す便が

出てきそう🫢🫢🫢 今日はANAだけど
ソラシドに乗りました🫡🫡 SCF修行は",0,"01/11/2026 03:22",https://www.instagram.com/stories/ino_moneycoach/3807677461199774391,"IG story",,Lifetime,3429,2619,7,0,13,0,3005,,,
17992288004744772,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"去年行ったベトナムと
ヨーロッパ旅行は
ANAマイルで行きました✨ なかなか動画にできてなかったので、動画にしてみました🥹 動画は本当に難しいな😂",26,"01/11/2026 02:53",https://www.instagram.com/stories/ino_moneycoach/3807663661075549370,"IG story",,Lifetime,3538,2645,6,0,36,1,3226,,,1
17970849005995627,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/10/2026 17:26",https://www.instagram.com/stories/ino_moneycoach/3807377472422596210,"IG story",,Lifetime,3865,2784,5,0,16,114,3441,,,
18087896633078097,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/10/2026 17:26",https://www.instagram.com/stories/ino_moneycoach/3807377453053306063,"IG story",,Lifetime,3854,2917,7,0,2,0,3493,,,
18012303086815325,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,,0,"01/10/2026 17:26",https://www.instagram.com/stories/ino_moneycoach/3807377453388837503,"IG story",,Lifetime,4296,3122,6,0,9,0,3740,,,
17995244774902622,17841456723306822,ino_moneycoach,いの🐛お得・ポイント・決済を駆使して月５万円UP✨,"那覇空港には
免税店があるね✨",0,"01/10/2026 12:23",https://www.instagram.com/stories/ino_moneycoach/3807224891301913879,"IG story",,Lifetime,4615,3329,12,0,30,5,3648,,,
